======== Checking equivalence of automata =======
Automata directory:   ./tests/aut_timbuk_smaller/
Timeout:              300 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;double-incl-d;  congr-up;      '<=';
     A0053;     A0053;    0.0265;    0.0265;    0.0979;         1;        ok;
     A0053;     A0054;    0.0076;    0.0078;    0.0071;         0;        ok;
     A0053;     A0055;    0.0167;    0.0062;    0.0057;         0;        ok;
     A0053;     A0056;    0.0054;    0.0062;    0.0053;         0;        ok;
     A0053;     A0057;    0.0051;    0.0058;    0.0048;         0;        ok;
     A0053;     A0058;    0.0051;    0.0051;    0.0046;         0;        ok;
     A0053;     A0059;    0.0043;    0.0043;    0.0041;         0;        ok;
     A0053;     A0060;    0.0117;    0.0043;    0.0040;         0;        ok;
     A0053;     A0062;    0.0126;    0.0072;    0.0042;         0;        ok;
     A0053;     A0063;    0.0098;    0.0103;    0.0062;         0;        ok;
     A0053;     A0064;    0.0063;    0.0067;    0.0062;         0;        ok;
     A0053;     A0065;    0.0063;    0.0065;    0.0062;         0;        ok;
     A0053;     A0070;    0.0067;    0.0072;    0.0066;         0;        ok;
     A0053;     A0080;    0.0073;    0.0076;    0.0073;         0;        ok;
     A0053;     A0082;    0.0078;    0.0080;    0.0074;         0;        ok;
     A0053;     A0083;    0.0078;    0.0079;    0.0076;         0;        ok;
     A0053;     A0086;    0.0127;    0.0130;    0.0124;         0;        ok;
     A0053;     A0087;    0.0101;    0.0107;    0.0101;         0;        ok;
     A0053;     A0088;    0.0097;    0.0103;    0.0099;         0;        ok;
     A0053;     A0089;    0.0094;    0.0129;    0.0093;         0;        ok;
     A0054;     A0053;    0.0044;    0.0042;    0.0038;         0;        ok;
     A0054;     A0054;    0.0283;    0.0228;    0.0675;         1;        ok;
     A0054;     A0055;    0.0046;    0.0043;    0.0043;         0;        ok;
     A0054;     A0056;    0.0057;    0.0057;    0.0051;         0;        ok;
     A0054;     A0057;    0.0051;    0.0055;    0.0185;         0;        ok;
     A0054;     A0058;    0.0051;    0.0053;    0.0192;         0;        ok;
     A0054;     A0059;    0.0056;    0.0054;    0.0191;         0;        ok;
     A0054;     A0060;    0.0050;    0.0048;    0.0048;         0;        ok;
     A0054;     A0062;    0.0052;    0.0050;    0.0051;         0;        ok;
     A0054;     A0063;    0.0068;    0.0092;    0.0067;         0;        ok;
     A0054;     A0064;    0.0069;    0.0121;    0.0070;         0;        ok;
     A0054;     A0065;    0.0068;    0.0099;    0.0067;         0;        ok;
     A0054;     A0070;    0.0073;    0.0367;    0.0072;         0;        ok;
     A0054;     A0080;    0.0079;    0.0084;    0.0077;         0;        ok;
     A0054;     A0082;    0.0082;    0.0084;    0.0080;         0;        ok;
     A0054;     A0083;    0.0082;    0.0083;    0.0080;         0;        ok;
     A0054;     A0086;    0.0193;    0.0197;    0.0194;         0;        ok;
     A0054;     A0087;    0.0120;    0.0132;    0.0122;         0;        ok;
     A0054;     A0088;    0.0108;    0.0117;    0.0111;         0;        ok;
     A0054;     A0089;    0.0099;    0.0161;    0.0101;         0;        ok;
     A0055;     A0053;    0.0039;    0.0113;    0.0035;         0;        ok;
     A0055;     A0054;    0.0046;    0.0045;    0.0044;         0;        ok;
     A0055;     A0055;    0.0172;    0.0174;    0.0734;         1;        ok;
     A0055;     A0056;    0.0043;    0.0081;    0.0068;         0;        ok;
     A0055;     A0057;    0.0044;    0.0053;    0.0044;         0;        ok;
     A0055;     A0058;    0.0046;    0.0052;    0.0046;         0;        ok;
     A0055;     A0059;    0.0046;    0.0048;    0.0046;         0;        ok;
     A0055;     A0060;    0.0126;    0.0048;    0.0115;         0;        ok;
     A0055;     A0062;    0.0105;    0.0051;    0.0119;         0;        ok;
     A0055;     A0063;    0.0065;    0.0069;    0.0065;         0;        ok;
     A0055;     A0064;    0.0065;    0.0073;    0.0064;         0;        ok;
     A0055;     A0065;    0.0064;    0.0115;    0.0105;         0;        ok;
     A0055;     A0070;    0.0066;    0.0334;    0.0115;         0;        ok;
     A0055;     A0080;    0.0075;    0.0081;    0.0074;         0;        ok;
     A0055;     A0082;    0.0079;    0.0088;    0.0077;         0;        ok;
     A0055;     A0083;    0.0115;    0.0133;    0.0113;         0;        ok;
     A0055;     A0086;    0.0158;    0.0162;    0.0159;         0;        ok;
     A0055;     A0087;    0.0097;    0.0104;    0.0099;         0;        ok;
     A0055;     A0088;    0.0097;    0.0106;    0.0099;         0;        ok;
     A0055;     A0089;    0.0097;    0.0136;    0.0096;         0;        ok;
     A0056;     A0053;    0.0044;    0.0040;    0.0041;         0;        ok;
     A0056;     A0054;    0.0049;    0.0046;    0.0043;         0;        ok;
     A0056;     A0055;    0.0073;    0.0041;    0.0062;         0;        ok;
     A0056;     A0056;    0.0285;    0.0281;    0.0531;         1;        ok;
     A0056;     A0057;    0.0177;    0.0052;    0.0046;         0;        ok;
     A0056;     A0058;    0.0190;    0.0048;    0.0046;         0;        ok;
     A0056;     A0059;    0.0196;    0.0048;    0.0047;         0;        ok;
     A0056;     A0060;    0.0068;    0.0066;    0.0060;         0;        ok;
     A0056;     A0062;    0.0054;    0.0051;    0.0048;         0;        ok;
     A0056;     A0063;    0.0068;    0.0070;    0.0068;         0;        ok;
     A0056;     A0064;    0.0068;    0.0071;    0.0069;         0;        ok;
     A0056;     A0065;    0.0069;    0.0071;    0.0067;         0;        ok;
     A0056;     A0070;    0.0073;    0.0077;    0.0072;         0;        ok;
     A0056;     A0080;    0.0098;    0.0096;    0.0093;         0;        ok;
     A0056;     A0082;    0.0111;    0.0117;    0.0087;         0;        ok;
     A0056;     A0083;    0.0085;    0.0083;    0.0081;         0;        ok;
     A0056;     A0086;    0.0133;    0.0134;    0.0131;         0;        ok;
     A0056;     A0087;    0.0100;    0.0107;    0.0101;         0;        ok;
     A0056;     A0088;    0.0101;    0.0108;    0.0103;         0;        ok;
