======== Checking equivalence of automata =======
Automata directory:   tests/aut_timbuk_smaller/
Timeout:              5 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;  congr-up;      '<=';
     A0053;     A0053;    0.0232;    0.0899;         1;        ok;
     A0053;     A0054;    0.0068;    0.0061;         0;        ok;
     A0053;     A0055;    0.0160;    0.0055;         0;        ok;
     A0053;     A0056;    0.0066;    0.0078;         0;        ok;
     A0053;     A0057;    0.0077;    0.0071;         0;        ok;
     A0053;     A0058;    0.0070;    0.0064;         0;        ok;
     A0053;     A0059;    0.0072;    0.0066;         0;        ok;
     A0053;     A0060;    0.0180;    0.0062;         0;        ok;
     A0053;     A0062;    0.0105;    0.0048;         0;        ok;
     A0053;     A0063;    0.0076;    0.0075;         0;        ok;
     A0053;     A0064;    0.0079;    0.0077;         0;        ok;
     A0053;     A0065;    0.0079;    0.0076;         0;        ok;
     A0053;     A0070;    0.0079;    0.0077;         0;        ok;
     A0053;     A0080;    0.0089;    0.0085;         0;        ok;
     A0053;     A0082;    0.0094;    0.0089;         0;        ok;
     A0053;     A0083;    0.0095;    0.0090;         0;        ok;
     A0053;     A0086;    0.0211;    0.0203;         0;        ok;
     A0053;     A0087;    0.0116;    0.0118;         0;        ok;
     A0053;     A0088;    0.0165;    0.0164;         0;        ok;
     A0053;     A0089;    0.0128;    0.0124;         0;        ok;
     A0054;     A0053;    0.0071;    0.0064;         0;        ok;
     A0054;     A0054;    0.0435;    0.0953;         1;        ok;
     A0054;     A0055;    0.0056;    0.0050;         0;        ok;
     A0054;     A0056;    0.0055;    0.0051;         0;        ok;
     A0054;     A0057;    0.0058;    0.0098;         0;        ok;
     A0054;     A0058;    0.0083;    0.0132;         0;        ok;
     A0054;     A0059;    0.0061;    0.0101;         0;        ok;
     A0054;     A0060;    0.0065;    0.0059;         0;        ok;
     A0054;     A0062;    0.0065;    0.0060;         0;        ok;
     A0054;     A0063;    0.0082;    0.0081;         0;        ok;
     A0054;     A0064;    0.0082;    0.0081;         0;        ok;
     A0054;     A0065;    0.0081;    0.0081;         0;        ok;
     A0054;     A0070;    0.0087;    0.0084;         0;        ok;
     A0054;     A0080;    0.0162;    0.0157;         0;        ok;
     A0054;     A0082;    0.0147;    0.0135;         0;        ok;
     A0054;     A0083;    0.0102;    0.0099;         0;        ok;
     A0054;     A0086;    0.0228;    0.0222;         0;        ok;
     A0054;     A0087;    0.0172;    0.0176;         0;        ok;
     A0054;     A0088;    0.0135;    0.0147;         0;        ok;
     A0054;     A0089;    0.0141;    0.0136;         0;        ok;
     A0055;     A0053;    0.0049;    0.0043;         0;        ok;
     A0055;     A0054;    0.0053;    0.0050;         0;        ok;
     A0055;     A0055;    0.0275;    0.1150;         1;        ok;
     A0055;     A0056;    0.0056;    0.0051;         0;        ok;
     A0055;     A0057;    0.0059;    0.0054;         0;        ok;
     A0055;     A0058;    0.0071;    0.0068;         0;        ok;
     A0055;     A0059;    0.0072;    0.0068;         0;        ok;
     A0055;     A0060;    0.0221;    0.0094;         0;        ok;
     A0055;     A0062;    0.0176;    0.0090;         0;        ok;
     A0055;     A0063;    0.0081;    0.0080;         0;        ok;
     A0055;     A0064;    0.0086;    0.0087;         0;        ok;
     A0055;     A0065;    0.0118;    0.0117;         0;        ok;
     A0055;     A0070;    0.0123;    0.0124;         0;        ok;
     A0055;     A0080;    0.0097;    0.0092;         0;        ok;
     A0055;     A0082;    0.0096;    0.0093;         0;        ok;
     A0055;     A0083;    0.0093;    0.0089;         0;        ok;
     A0055;     A0086;    0.0151;    0.0147;         0;        ok;
     A0055;     A0087;    0.0114;    0.0114;         0;        ok;
     A0055;     A0088;    0.0163;    0.0164;         0;        ok;
     A0055;     A0089;    0.0159;    0.0159;         0;        ok;
     A0056;     A0053;    0.0077;    0.0064;         0;        ok;
     A0056;     A0054;    0.0090;    0.0071;         0;        ok;
     A0056;     A0055;    0.0064;    0.0048;         0;        ok;
     A0056;     A0056;    0.0399;    0.0767;         1;        ok;
     A0056;     A0057;    0.0286;    0.0072;         0;        ok;
     A0056;     A0058;    0.0286;    0.0073;         0;        ok;
     A0056;     A0059;    0.0290;    0.0075;         0;        ok;
     A0056;     A0060;    0.0066;    0.0051;         0;        ok;
     A0056;     A0062;    0.0077;    0.0057;         0;        ok;
     A0056;     A0063;    0.0109;    0.0102;         0;        ok;
     A0056;     A0064;    0.0113;    0.0110;         0;        ok;
     A0056;     A0065;    0.0111;    0.0109;         0;        ok;
     A0056;     A0070;    0.0140;    0.0153;         0;        ok;
     A0056;     A0080;    0.0137;    0.0148;         0;        ok;
     A0056;     A0082;    0.0158;    0.0152;         0;        ok;
     A0056;     A0083;    0.0143;    0.0148;         0;        ok;
     A0056;     A0086;    0.0320;    0.0308;         0;        ok;
     A0056;     A0087;    0.0171;    0.0185;         0;        ok;
     A0056;     A0088;    0.0161;    0.0148;         0;        ok;
     A0056;     A0089;    0.0166;    0.0166;         0;        ok;
     A0057;     A0053;    0.0072;    0.0065;         0;        ok;
     A0057;     A0054;    0.0094;    0.0130;         0;        ok;
     A0057;     A0055;    0.0090;    0.0070;         0;        ok;
     A0057;     A0056;    0.0083;    0.0078;         0;        ok;
     A0057;     A0057;    0.0447;    0.0777;         1;        ok;
     A0057;     A0058;    0.0323;    0.0326;         0;        ok;
     A0057;     A0059;    0.0321;    0.0296;         0;        ok;
     A0057;     A0060;    0.0072;    0.0059;         0;        ok;
     A0057;     A0062;    0.0082;    0.0067;         0;        ok;
     A0057;     A0063;    0.0082;    0.0080;         0;        ok;
     A0057;     A0064;    0.0084;    0.0082;         0;        ok;
     A0057;     A0065;    0.0114;    0.0110;         0;        ok;
     A0057;     A0070;    0.0121;    0.0117;         0;        ok;
     A0057;     A0080;    0.0131;    0.0126;         0;        ok;
     A0057;     A0082;    0.0137;    0.0132;         0;        ok;
     A0057;     A0083;    0.0113;    0.0110;         0;        ok;
     A0057;     A0086;    0.0221;    0.0217;         0;        ok;
     A0057;     A0087;    0.0123;    0.0123;         0;        ok;
     A0057;     A0088;    0.0169;    0.0172;         0;        ok;
     A0057;     A0089;    0.0121;    0.0118;         0;        ok;
     A0058;     A0053;    0.0058;    0.0054;         0;        ok;
     A0058;     A0054;    0.0070;    0.0071;         0;        ok;
     A0058;     A0055;    0.0080;    0.0060;         0;        ok;
     A0058;     A0056;    0.0128;    0.0121;         0;        ok;
     A0058;     A0057;    0.0106;    0.0150;         0;        ok;
     A0058;     A0058;    0.0515;    0.0883;         1;        ok;
     A0058;     A0059;    0.0345;    0.0140;         0;        ok;
     A0058;     A0060;    0.0100;    0.0079;         0;        ok;
     A0058;     A0062;    0.0103;    0.0084;         0;        ok;
     A0058;     A0063;    0.0117;    0.0113;         0;        ok;
     A0058;     A0064;    0.0084;    0.0081;         0;        ok;
     A0058;     A0065;    0.0117;    0.0113;         0;        ok;
     A0058;     A0070;    0.0088;    0.0086;         0;        ok;
     A0058;     A0080;    0.0096;    0.0094;         0;        ok;
     A0058;     A0082;    0.0139;    0.0135;         0;        ok;
     A0058;     A0083;    0.0141;    0.0134;         0;        ok;
     A0058;     A0086;    0.0220;    0.0219;         0;        ok;
     A0058;     A0087;    0.0121;    0.0121;         0;        ok;
     A0058;     A0088;    0.0172;    0.0172;         0;        ok;
     A0058;     A0089;    0.0173;    0.0178;         0;        ok;
     A0059;     A0053;    0.0071;    0.0065;         0;        ok;
     A0059;     A0054;    0.0087;    0.0101;         0;        ok;
     A0059;     A0055;    0.0082;    0.0073;         0;        ok;
     A0059;     A0056;    0.0080;    0.0074;         0;        ok;
     A0059;     A0057;    0.0087;    0.0135;         0;        ok;
     A0059;     A0058;    0.0095;    0.0136;         0;        ok;
     A0059;     A0059;    0.0535;    0.1143;         1;        ok;
     A0059;     A0060;    0.0088;    0.0080;         0;        ok;
     A0059;     A0062;    0.0075;    0.0067;         0;        ok;
     A0059;     A0063;    0.0116;    0.0114;         0;        ok;
     A0059;     A0064;    0.0117;    0.0116;         0;        ok;
     A0059;     A0065;    0.0118;    0.0117;         0;        ok;
     A0059;     A0070;    0.0123;    0.0120;         0;        ok;
     A0059;     A0080;    0.0098;    0.0092;         0;        ok;
     A0059;     A0082;    0.0139;    0.0135;         0;        ok;
     A0059;     A0083;    0.0142;    0.0135;         0;        ok;
     A0059;     A0086;    0.0186;    0.0167;         0;        ok;
     A0059;     A0087;    0.0172;    0.0172;         0;        ok;
     A0059;     A0088;    0.0147;    0.0150;         0;        ok;
     A0059;     A0089;    0.0121;    0.0127;         0;        ok;
     A0060;     A0053;    0.0070;    0.0062;         0;        ok;
     A0060;     A0054;    0.0079;    0.0077;         0;        ok;
     A0060;     A0055;    0.0085;    0.0084;         0;        ok;
     A0060;     A0056;    0.0086;    0.0084;         0;        ok;
     A0060;     A0057;    0.0084;    0.0084;         0;        ok;
     A0060;     A0058;    0.0080;    0.0082;         0;        ok;
     A0060;     A0059;    0.0084;    0.0083;         0;        ok;
     A0060;     A0060;    0.0441;    0.1679;         1;        ok;
     A0060;     A0062;    0.0278;    0.1601;         0;        ok;
     A0060;     A0063;    0.0119;    0.0114;         0;        ok;
