======== Checking equivalence of automata =======
Automata directory:   tests/aut_timbuk_smaller/
Timeout:              300 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;double-incl-d;  congr-up;      '<=';
     A0053;     A0053;  116.0000;  116.0000;   24.0000;         1;        ok;
     A0053;     A0054;    1.0000;    1.0000;    1.0000;         0;        ok;
     A0053;     A0055;   60.0000;    1.0000;    1.0000;         0;        ok;
     A0053;     A0056;    1.0000;   14.0000;    1.0000;         0;        ok;
     A0053;     A0057;    1.0000;    1.0000;    1.0000;         0;        ok;
     A0053;     A0058;    1.0000;    1.0000;    1.0000;         0;        ok;
     A0053;     A0059;    1.0000;    1.0000;    1.0000;         0;        ok;
     A0053;     A0060;   61.0000;    1.0000;    1.0000;         0;        ok;
     A0053;     A0062;   55.0000;    1.0000;    1.0000;         0;        ok;
     A0053;     A0063;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0053;     A0064;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0053;     A0065;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0053;     A0070;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0053;     A0080;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0053;     A0082;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0053;     A0083;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0053;     A0086;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0053;     A0087;    1.0000;    5.0000;    1.0000;         0;        ok;
     A0053;     A0088;    1.0000;    5.0000;    1.0000;         0;        ok;
     A0053;     A0089;    1.0000;    4.0000;    1.0000;         0;        ok;
     A0054;     A0053;    1.0000;    1.0000;    1.0000;         0;        ok;
     A0054;     A0054;  142.0000;  142.0000;   23.0000;         1;        ok;
     A0054;     A0055;    3.0000;    1.0000;    1.0000;         0;        ok;
     A0054;     A0056;    1.0000;   15.0000;    1.0000;         0;        ok;
     A0054;     A0057;    2.0000;   17.0000;    4.0000;         0;        ok;
     A0054;     A0058;    3.0000;   18.0000;    4.0000;         0;        ok;
     A0054;     A0059;    3.0000;    3.0000;    4.0000;         0;        ok;
     A0054;     A0060;    3.0000;    1.0000;    1.0000;         0;        ok;
     A0054;     A0062;    3.0000;    1.0000;    1.0000;         0;        ok;
     A0054;     A0063;    1.0000;    7.0000;    1.0000;         0;        ok;
     A0054;     A0064;    1.0000;    6.0000;    1.0000;         0;        ok;
     A0054;     A0065;    1.0000;    6.0000;    1.0000;         0;        ok;
     A0054;     A0070;    1.0000;   90.0000;    1.0000;         0;        ok;
     A0054;     A0080;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0054;     A0082;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0054;     A0083;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0054;     A0086;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0054;     A0087;    1.0000;    5.0000;    1.0000;         0;        ok;
     A0054;     A0088;    1.0000;    5.0000;    1.0000;         0;        ok;
     A0054;     A0089;    1.0000;    4.0000;    1.0000;         0;        ok;
     A0055;     A0053;    1.0000;   60.0000;    1.0000;         0;        ok;
     A0055;     A0054;    1.0000;    3.0000;    1.0000;         0;        ok;
     A0055;     A0055;  125.0000;  125.0000;   27.0000;         1;        ok;
     A0055;     A0056;    1.0000;   16.0000;    1.0000;         0;        ok;
     A0055;     A0057;    1.0000;   18.0000;    1.0000;         0;        ok;
     A0055;     A0058;    1.0000;   21.0000;    1.0000;         0;        ok;
     A0055;     A0059;    1.0000;    3.0000;    1.0000;         0;        ok;
     A0055;     A0060;   70.0000;    6.0000;    2.0000;         0;        ok;
     A0055;     A0062;   64.0000;    6.0000;    2.0000;         0;        ok;
     A0055;     A0063;    1.0000;    3.0000;    1.0000;         0;        ok;
     A0055;     A0064;    1.0000;    4.0000;    1.0000;         0;        ok;
     A0055;     A0065;    1.0000;    6.0000;    1.0000;         0;        ok;
     A0055;     A0070;    1.0000;   79.0000;    1.0000;         0;        ok;
     A0055;     A0080;    1.0000;    6.0000;    1.0000;         0;        ok;
     A0055;     A0082;    1.0000;    6.0000;    1.0000;         0;        ok;
     A0055;     A0083;    1.0000;    3.0000;    1.0000;         0;        ok;
     A0055;     A0086;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0055;     A0087;    1.0000;    5.0000;    1.0000;         0;        ok;
     A0055;     A0088;    1.0000;    5.0000;    1.0000;         0;        ok;
     A0055;     A0089;    1.0000;    4.0000;    1.0000;         0;        ok;
     A0056;     A0053;   14.0000;    1.0000;    1.0000;         0;        ok;
     A0056;     A0054;   15.0000;    1.0000;    1.0000;         0;        ok;
     A0056;     A0055;   16.0000;    1.0000;    1.0000;         0;        ok;
     A0056;     A0056;  136.0000;  136.0000;   23.0000;         1;        ok;
     A0056;     A0057;   70.0000;    1.0000;    1.0000;         0;        ok;
     A0056;     A0058;   72.0000;    1.0000;    1.0000;         0;        ok;
     A0056;     A0059;   72.0000;    1.0000;    1.0000;         0;        ok;
     A0056;     A0060;   15.0000;    1.0000;    1.0000;         0;        ok;
     A0056;     A0062;   14.0000;    1.0000;    1.0000;         0;        ok;
     A0056;     A0063;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0056;     A0064;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0056;     A0065;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0056;     A0070;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0056;     A0080;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0056;     A0082;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0056;     A0083;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0056;     A0086;    1.0000;    2.0000;    1.0000;         0;        ok;
     A0056;     A0087;    1.0000;    5.0000;    1.0000;         0;        ok;
     A0056;     A0088;    1.0000;    5.0000;    1.0000;         0;        ok;
     A0056;     A0089;    1.0000;    4.0000;    1.0000;         0;        ok;
     A0057;     A0053;    1.0000;    1.0000;    1.0000;         0;        ok;
     A0057;     A0054;   17.0000;    2.0000;    4.0000;         0;        ok;
