======== Checking equivalence of automata =======
Automata directory:   tests/fa_timbuk_armc/
Timeout:              5 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;double-incl-d;  congr-up;      '<=';
armcNFA_inclTest_0;armcNFA_inclTest_0;    8.0000;    8.0000;    4.0000;         1;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_1;    1.0000;    5.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_10;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_1072;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_1073;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_11;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_12;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_13;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_14;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_15;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_16;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_17;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_18;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_19;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_2;    5.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_20;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_21;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_22;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_23;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_24;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_25;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_26;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_27;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_28;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_29;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_3;    8.0000;    8.0000;    4.0000;         1;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_30;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_31;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_32;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_33;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_34;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_35;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_4;    2.0000;   10.0000;    2.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_5;    1.0000;    6.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_550;    1.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_557;    1.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_6;    3.0000;   17.0000;    3.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_7;    1.0000;    6.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_8;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_9;    3.0000;   17.0000;    3.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_0;    5.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_1;    8.0000;    8.0000;    4.0000;         1;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_10;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_1072;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_1073;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_11;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_12;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_13;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_14;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_15;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_16;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_17;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_18;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_19;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_2;    5.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_20;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_21;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_22;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_23;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_24;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_25;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_26;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_27;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_28;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_29;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_3;    5.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_30;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_31;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_32;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_33;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_34;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_35;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_4;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_5;    3.0000;    8.0000;    3.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_550;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_557;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_6;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_7;    3.0000;    8.0000;    3.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_8;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1;armcNFA_inclTest_9;    3.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_0;    1.0000;    3.0000;    1.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_1;    1.0000;    3.0000;    1.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_10;  176.0000;  176.0000;   88.0000;         1;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_1072;   14.0000;    4.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_1073;   14.0000;    3.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_11;    2.0000;   41.0000;    2.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_12;   25.0000;  119.0000;   25.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_13;    2.0000;   41.0000;    2.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_14;   27.0000;    6.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_15;   25.0000;  119.0000;   25.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_16;   27.0000;    7.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_17;   25.0000;  119.0000;   25.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_18;   27.0000;    7.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_19;   25.0000;  119.0000;   25.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_2;   24.0000;    3.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_20;   27.0000;    3.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_21;   27.0000;    7.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_22;   27.0000;    5.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_23;   27.0000;    7.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_24;   27.0000;    7.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_25;   27.0000;    7.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_26;   27.0000;    7.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_27;   27.0000;    7.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_28;   27.0000;    7.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_29;   27.0000;    7.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_3;    1.0000;    3.0000;    1.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_30;   30.0000;    7.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_31;   27.0000;    7.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_32;   30.0000;    7.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_33;   30.0000;    7.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_34;   30.0000;    7.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_35;   30.0000;    7.0000;    3.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_4;    1.0000;    7.0000;    1.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_5;    1.0000;    6.0000;    1.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_550;    1.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_557;    1.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_6;    1.0000;   16.0000;    1.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_7;    1.0000;    6.0000;    1.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_8;    2.0000;   41.0000;    2.0000;         0;        ok;
armcNFA_inclTest_10;armcNFA_inclTest_9;    1.0000;   16.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_0;    1.0000;    3.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_1;    1.0000;    3.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_10;    4.0000;   14.0000;    4.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_1072;20780.0000;20783.0000;         -;         1;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_1073; 1706.0000;12091.0000;   94.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_11;    2.0000;   12.0000;    2.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_12;    4.0000;   14.0000;    4.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_13;    2.0000;   12.0000;    2.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_14;  242.0000;   17.0000;    5.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_15;    4.0000;   14.0000;    4.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_16;  234.0000;    9.0000;    6.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_17;    4.0000;   14.0000;    4.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_18;  234.0000;   10.0000;    6.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_19;    4.0000;   14.0000;    4.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_2;    5.0000;    3.0000;    4.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_20; 4341.0000;    5.0000;    6.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_21;  234.0000;   10.0000;    6.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_22; 4302.0000;   12.0000;    6.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_23;  234.0000;   10.0000;    6.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_24; 4521.0000;    9.0000;    6.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_25;  234.0000;   10.0000;    6.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_26; 4307.0000;    8.0000;    6.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_27; 4521.0000;    9.0000;    6.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_28; 4308.0000;    9.0000;    6.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_29; 4521.0000;    9.0000;    6.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_3;    1.0000;    3.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_30; 4263.0000;    9.0000;    5.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_31; 4308.0000;    9.0000;    6.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_32; 4263.0000;    9.0000;    5.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_33; 4263.0000;    9.0000;    5.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_34; 4263.0000;    9.0000;    5.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_35; 4263.0000;    9.0000;    5.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_4;    1.0000;    7.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_5;    1.0000;   11.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_550;    1.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_557;    1.0000;    1.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_6;    1.0000;   65.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_7;    1.0000;   11.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_8;    2.0000;   12.0000;    2.0000;         0;        ok;
armcNFA_inclTest_1072;armcNFA_inclTest_9;    1.0000;   65.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_0;    1.0000;    3.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_1;    1.0000;    3.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_10;    3.0000;   14.0000;    3.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_1072;12085.0000; 1706.0000;         -;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_1073;20965.0000;20962.0000;         -;         1;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_11;    2.0000;   12.0000;    2.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_12;    3.0000;   14.0000;    3.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_13;    2.0000;   12.0000;    2.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_14;    4.0000;   17.0000;    4.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_15;    3.0000;   14.0000;    3.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_16;    4.0000;    9.0000;    4.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_17;    3.0000;   14.0000;    3.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_18;    4.0000;   10.0000;    4.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_19;    3.0000;   14.0000;    3.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_2;    5.0000;    3.0000;    4.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_20; 4381.0000;    5.0000;    5.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_21;    4.0000;   10.0000;    4.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_22; 4354.0000;   12.0000;    6.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_23;    4.0000;   10.0000;    4.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_24; 4573.0000;    9.0000;    6.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_25;    4.0000;   10.0000;    4.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_26; 4359.0000;    8.0000;    6.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_27; 4573.0000;    9.0000;    6.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_28; 4360.0000;    9.0000;    6.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_29; 4573.0000;    9.0000;    6.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_3;    1.0000;    3.0000;    1.0000;         0;        ok;
armcNFA_inclTest_1073;armcNFA_inclTest_30; 4315.0000;    9.0000;    6.0000;         0;        ok;
