======== Checking equivalence of automata =======
Automata directory:   ./tests/fa_timbuk_armc/
Timeout:              5 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;double-incl-d;  congr-up;      '<=';
armcNFA_inclTest_0;armcNFA_inclTest_0;    0.0013;    0.0012;    0.0013;         1;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_1;    0.0004;    0.0007;    0.0004;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_10;    0.0035;    0.0035;    0.0032;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_1072;    0.1255;    0.1331;    0.1224;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_1073;    0.1287;    0.1361;    0.1288;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_11;    0.0009;    0.0009;    0.0008;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_12;    0.0024;    0.0024;    0.0022;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_13;    0.0009;    0.0015;    0.0014;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_14;    0.0057;    0.0059;    0.0053;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_15;    0.0024;    0.0025;    0.0022;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_16;    0.0068;    0.0073;    0.0066;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_17;    0.0024;    0.0025;    0.0022;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_18;    0.0069;    0.0074;    0.0067;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_19;    0.0024;    0.0025;    0.0023;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_2;    0.0007;    0.0005;    0.0004;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_20;    0.0091;    0.0096;    0.0089;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_21;    0.0069;    0.0073;    0.0066;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_22;    0.0097;    0.0105;    0.0093;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_23;    0.0069;    0.0074;    0.0066;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_24;    0.0130;    0.0142;    0.0130;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_25;    0.0069;    0.0073;    0.0068;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_26;    0.0133;    0.0142;    0.0133;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_27;    0.0127;    0.0139;    0.0129;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_28;    0.0147;    0.0164;    0.0147;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_29;    0.0127;    0.0140;    0.0131;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_3;    0.0008;    0.0008;    0.0008;         1;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_30;    0.0185;    0.0181;    0.0166;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_31;    0.0177;    0.0189;    0.0173;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_32;    0.0171;    0.0186;    0.0166;         0;        ok;
