======== Checking equivalence of automata =======
Automata directory:   tests/aut_timbuk_smaller/
Timeout:              300 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;congr-up-cached;      '<=';
     A0053;     A0053;    0.0240;    0.3603;         1;        ok;
     A0053;     A0054;    0.0070;    0.0115;         0;        ok;
     A0053;     A0055;    0.0162;    0.0100;         0;        ok;
     A0053;     A0056;    0.0067;    0.0156;         0;        ok;
     A0053;     A0057;    0.0068;    0.0117;         0;        ok;
     A0053;     A0058;    0.0071;    0.0120;         0;        ok;
     A0053;     A0059;    0.0073;    0.0121;         0;        ok;
     A0053;     A0060;    0.0181;    0.0115;         0;        ok;
     A0053;     A0062;    0.0202;    0.0175;         0;        ok;
     A0053;     A0063;    0.0117;    0.0175;         0;        ok;
     A0053;     A0064;    0.0106;    0.0177;         0;        ok;
     A0053;     A0065;    0.0105;    0.0180;         0;        ok;
     A0053;     A0070;    0.0122;    0.0191;         0;        ok;
     A0053;     A0080;    0.0122;    0.0209;         0;        ok;
     A0053;     A0082;    0.0127;    0.0213;         0;        ok;
     A0053;     A0083;    0.0128;    0.0212;         0;        ok;
     A0053;     A0086;    0.0209;    0.0361;         0;        ok;
     A0053;     A0087;    0.0157;    0.0266;         0;        ok;
     A0053;     A0088;    0.0160;    0.0273;         0;        ok;
     A0053;     A0089;    0.0176;    0.0288;         0;        ok;
     A0054;     A0053;    0.0075;    0.0127;         0;        ok;
     A0054;     A0054;    0.0406;    0.4402;         1;        ok;
     A0054;     A0055;    0.0077;    0.0173;         0;        ok;
     A0054;     A0056;    0.0105;    0.0162;         0;        ok;
     A0054;     A0057;    0.0081;    0.0483;         0;        ok;
     A0054;     A0058;    0.0083;    0.0504;         0;        ok;
     A0054;     A0059;    0.0091;    0.0510;         0;        ok;
     A0054;     A0060;    0.0089;    0.0194;         0;        ok;
     A0054;     A0062;    0.0103;    0.0214;         0;        ok;
     A0054;     A0063;    0.0112;    0.0188;         0;        ok;
     A0054;     A0064;    0.0113;    0.0187;         0;        ok;
     A0054;     A0065;    0.0117;    0.0191;         0;        ok;
     A0054;     A0070;    0.0118;    0.0195;         0;        ok;
     A0054;     A0080;    0.0130;    0.0218;         0;        ok;
     A0054;     A0082;    0.0136;    0.0225;         0;        ok;
     A0054;     A0083;    0.0138;    0.0228;         0;        ok;
     A0054;     A0086;    0.0217;    0.0378;         0;        ok;
     A0054;     A0087;    0.0166;    0.0280;         0;        ok;
     A0054;     A0088;    0.0169;    0.0286;         0;        ok;
     A0054;     A0089;    0.0164;    0.0281;         0;        ok;
     A0055;     A0053;    0.0062;    0.0101;         0;        ok;
     A0055;     A0054;    0.0072;    0.0165;         0;        ok;
     A0055;     A0055;    0.0270;    0.4759;         1;        ok;
     A0055;     A0056;    0.0070;    0.0124;         0;        ok;
     A0055;     A0057;    0.0105;    0.0200;         0;        ok;
     A0055;     A0058;    0.0074;    0.0171;         0;        ok;
     A0055;     A0059;    0.0076;    0.0173;         0;        ok;
     A0055;     A0060;    0.0205;    0.0264;         0;        ok;
     A0055;     A0062;    0.0174;    0.0282;         0;        ok;
     A0055;     A0063;    0.0107;    0.0175;         0;        ok;
     A0055;     A0064;    0.0107;    0.0177;         0;        ok;
     A0055;     A0065;    0.0106;    0.0177;         0;        ok;
     A0055;     A0070;    0.0114;    0.0185;         0;        ok;
     A0055;     A0080;    0.0125;    0.0207;         0;        ok;
     A0055;     A0082;    0.0129;    0.0220;         0;        ok;
     A0055;     A0083;    0.0132;    0.0216;         0;        ok;
     A0055;     A0086;    0.0212;    0.0363;         0;        ok;
     A0055;     A0087;    0.0162;    0.0275;         0;        ok;
     A0055;     A0088;    0.0164;    0.0277;         0;        ok;
     A0055;     A0089;    0.0164;    0.0271;         0;        ok;
     A0056;     A0053;    0.0078;    0.0157;         0;        ok;
     A0056;     A0054;    0.0090;    0.0130;         0;        ok;
     A0056;     A0055;    0.0084;    0.0118;         0;        ok;
     A0056;     A0056;    0.0397;    0.3666;         1;        ok;
     A0056;     A0057;    0.0259;    0.0131;         0;        ok;
     A0056;     A0058;    0.0282;    0.0134;         0;        ok;
     A0056;     A0059;    0.0301;    0.0204;         0;        ok;
     A0056;     A0060;    0.0091;    0.0134;         0;        ok;
     A0056;     A0062;    0.0102;    0.0147;         0;        ok;
     A0056;     A0063;    0.0111;    0.0184;         0;        ok;
     A0056;     A0064;    0.0113;    0.0189;         0;        ok;
