======== Checking equivalence of automata =======
Automata directory:   tests/aut_timbuk_smaller/
Timeout:              30 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;  bisim-up;bisim-up-cached;  congr-up;congr-up-cached;      '<=';
     A0053;     A0053;    0.0369;    4.3077;    0.4790;    2.1121;    0.3710;         1;        ok;
     A0053;     A0054;    0.0104;    0.0159;    0.0170;    0.0131;    0.0181;         0;        ok;
     A0053;     A0055;    0.0161;    0.0116;    0.0102;    0.0165;    0.0153;         0;        ok;
     A0053;     A0056;    0.0067;    0.0287;    0.0233;    0.0300;    0.0239;         0;        ok;
     A0053;     A0057;    0.0072;    0.0203;    0.0175;    0.0207;    0.0177;         0;        ok;
     A0053;     A0058;    0.0123;    0.0223;    0.0233;    0.0215;    0.0210;         0;        ok;
     A0053;     A0059;    0.0110;    0.0211;    0.0165;    0.0212;    0.0202;         0;        ok;
     A0053;     A0060;    0.0241;    0.0175;    0.0136;    0.0159;    0.0142;         0;        ok;
     A0053;     A0062;    0.0242;    0.0229;    0.0183;    0.0176;    0.0205;         0;        ok;
     A0053;     A0063;    0.0183;    0.0219;    0.0250;    0.0307;    0.0266;         0;        ok;
     A0053;     A0064;    0.0117;    0.0207;    0.0330;    0.0188;    0.0184;         0;        ok;
     A0053;     A0065;    0.0176;    0.0265;    0.0272;    0.0183;    0.0269;         0;        ok;
     A0053;     A0070;    0.0111;    0.0304;    0.0185;    0.0312;    0.0184;         0;        ok;
     A0053;     A0080;    0.0197;    0.0313;    0.0219;    0.0233;    0.0215;         0;        ok;
     A0053;     A0082;    0.0204;    0.0239;    0.0214;    0.0244;    0.0297;         0;        ok;
     A0053;     A0083;    0.0236;    0.0412;    0.0331;    0.0382;    0.0363;         0;        ok;
     A0053;     A0086;    0.0262;    0.0650;    0.0483;    0.0540;    0.0653;         0;        ok;
     A0053;     A0087;    0.0233;    0.0482;    0.0542;    0.0519;    0.0501;         0;        ok;
     A0053;     A0088;    0.0383;    0.0588;    0.0407;    0.0557;    0.0425;         0;        ok;
     A0053;     A0089;    0.0195;    0.0339;    0.0451;    0.0461;    0.0315;         0;        ok;
     A0054;     A0053;    0.0113;    0.0164;    0.0181;    0.0189;    0.0168;         0;        ok;
     A0054;     A0054;    0.0658;    5.5479;    0.6443;    2.2479;    0.4931;         1;        ok;
     A0054;     A0055;    0.0078;    0.0319;    0.0252;    0.0324;    0.0260;         0;        ok;
     A0054;     A0056;    0.0079;    0.0167;    0.0207;    0.0232;    0.0140;         0;        ok;
     A0054;     A0057;    0.0126;    0.1394;    0.0642;    0.1015;    0.0521;         0;        ok;
     A0054;     A0058;    0.0133;    0.1595;    0.0569;    0.1042;    0.0768;         0;        ok;
     A0054;     A0059;    0.0128;    0.1366;    0.0535;    0.1049;    0.0536;         0;        ok;
     A0054;     A0060;    0.0111;    0.0325;    0.0289;    0.0374;    0.0190;         0;        ok;
     A0054;     A0062;    0.0135;    0.0324;    0.0232;    0.0316;    0.0262;         0;        ok;
     A0054;     A0063;    0.0119;    0.0274;    0.0310;    0.0317;    0.0203;         0;        ok;
     A0054;     A0064;    0.0184;    0.0232;    0.0237;    0.0296;    0.0206;         0;        ok;
     A0054;     A0065;    0.0183;    0.0318;    0.0235;    0.0325;    0.0190;         0;        ok;
     A0054;     A0070;    0.0189;    0.0301;    0.0306;    0.0230;    0.0303;         0;        ok;
     A0054;     A0080;    0.0139;    0.0399;    0.0236;    0.0327;    0.0353;         0;        ok;
     A0054;     A0082;    0.0155;    0.0416;    0.0245;    0.0287;    0.0345;         0;        ok;
     A0054;     A0083;    0.0221;    0.0353;    0.0356;    0.0284;    0.0343;         0;        ok;
     A0054;     A0086;    0.0349;    0.0533;    0.0461;    0.0584;    0.0497;         0;        ok;
     A0054;     A0087;    0.0273;    0.0465;    0.0401;    0.0459;    0.0314;         0;        ok;
     A0054;     A0088;    0.0249;    0.0452;    0.0323;    0.0479;    0.0322;         0;        ok;
     A0054;     A0089;    0.0188;    0.0471;    0.0296;    0.0323;    0.0463;         0;        ok;
     A0055;     A0053;    0.0074;    0.0181;    0.0153;    0.0182;    0.0136;         0;        ok;
     A0055;     A0054;    0.0075;    0.0366;    0.0255;    0.0344;    0.0261;         0;        ok;
     A0055;     A0055;    0.0437;    5.8327;    0.6202;    2.5022;    0.4914;         1;        ok;
     A0055;     A0056;    0.0108;    0.0159;    0.0117;    0.0208;    0.0166;         0;        ok;
     A0055;     A0057;    0.0096;    0.0234;    0.0261;    0.0238;    0.0260;         0;        ok;
     A0055;     A0058;    0.0123;    0.0246;    0.0184;    0.0291;    0.0178;         0;        ok;
     A0055;     A0059;    0.0117;    0.0369;    0.0216;    0.0365;    0.0178;         0;        ok;
     A0055;     A0060;    0.0230;    0.0771;    0.0522;    0.0631;    0.0338;         0;        ok;
     A0055;     A0062;    0.0193;    0.0961;    0.0429;    0.0653;    0.0398;         0;        ok;
     A0055;     A0063;    0.0108;    0.0190;    0.0183;    0.0294;    0.0282;         0;        ok;
     A0055;     A0064;    0.0178;    0.0266;    0.0187;    0.0287;    0.0275;         0;        ok;
     A0055;     A0065;    0.0167;    0.0313;    0.0186;    0.0304;    0.0254;         0;        ok;
     A0055;     A0070;    0.0195;    0.0285;    0.0298;    0.0272;    0.0194;         0;        ok;
     A0055;     A0080;    0.0130;    0.0271;    0.0346;    0.0296;    0.0328;         0;        ok;
     A0055;     A0082;    0.0228;    0.0258;    0.0260;    0.0331;    0.0248;         0;        ok;
     A0055;     A0083;    0.0218;    0.0384;    0.0305;    0.0384;    0.0224;         0;        ok;
     A0055;     A0086;    0.0356;    0.0558;    0.0414;    0.0454;    0.0441;         0;        ok;
     A0055;     A0087;    0.0260;    0.0411;    0.0394;    0.0401;    0.0293;         0;        ok;
     A0055;     A0088;    0.0281;    0.0349;    0.0417;    0.0420;    0.0436;         0;        ok;
     A0055;     A0089;    0.0256;    0.0305;    0.0374;    0.0303;    0.0355;         0;        ok;
     A0056;     A0053;    0.0079;    0.0311;    0.0240;    0.0320;    0.0235;         0;        ok;
     A0056;     A0054;    0.0138;    0.0222;    0.0201;    0.0151;    0.0181;         0;        ok;
     A0056;     A0055;    0.0088;    0.0159;    0.0196;    0.0218;    0.0130;         0;        ok;
     A0056;     A0056;    0.0642;    6.4502;    0.7192;    1.1441;    0.4047;         1;        ok;
     A0056;     A0057;    0.0263;    0.0152;    0.0199;    0.0208;    0.0132;         0;        ok;
     A0056;     A0058;    0.0332;    0.0173;    0.0215;    0.0170;    0.0211;         0;        ok;
     A0056;     A0059;    0.0403;    0.0166;    0.0148;    0.0163;    0.0211;         0;        ok;
     A0056;     A0060;    0.0141;    0.0232;    0.0190;    0.0223;    0.0132;         0;        ok;
     A0056;     A0062;    0.0159;    0.0230;    0.0139;    0.0256;    0.0221;         0;        ok;
     A0056;     A0063;    0.0179;    0.0229;    0.0254;    0.0315;    0.0282;         0;        ok;
