======== Checking equivalence of automata =======
Automata directory:   tests/aut_timbuk_smaller/
Timeout:              300 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;congr-up-cached;      '<=';
     A0053;     A0053;    0.0270;    0.2378;         1;        ok;
     A0053;     A0054;    0.0069;    0.0113;         0;        ok;
     A0053;     A0055;    0.0162;    0.0100;         0;        ok;
     A0053;     A0056;    0.0066;    0.0154;         0;        ok;
     A0053;     A0057;    0.0069;    0.0115;         0;        ok;
     A0053;     A0058;    0.0070;    0.0120;         0;        ok;
     A0053;     A0059;    0.0072;    0.0120;         0;        ok;
     A0053;     A0060;    0.0183;    0.0114;         0;        ok;
     A0053;     A0062;    0.0146;    0.0121;         0;        ok;
     A0053;     A0063;    0.0104;    0.0170;         0;        ok;
     A0053;     A0064;    0.0104;    0.0170;         0;        ok;
     A0053;     A0065;    0.0104;    0.0172;         0;        ok;
     A0053;     A0070;    0.0148;    0.0181;         0;        ok;
     A0053;     A0080;    0.0131;    0.0225;         0;        ok;
     A0053;     A0082;    0.0143;    0.0244;         0;        ok;
     A0053;     A0083;    0.0139;    0.0231;         0;        ok;
     A0053;     A0086;    0.0210;    0.0359;         0;        ok;
     A0053;     A0087;    0.0158;    0.0266;         0;        ok;
     A0053;     A0088;    0.0160;    0.0270;         0;        ok;
     A0053;     A0089;    0.0156;    0.0266;         0;        ok;
     A0054;     A0053;    0.0069;    0.0114;         0;        ok;
     A0054;     A0054;    0.0426;    0.3076;         1;        ok;
     A0054;     A0055;    0.0085;    0.0174;         0;        ok;
     A0054;     A0056;    0.0087;    0.0143;         0;        ok;
     A0054;     A0057;    0.0090;    0.0444;         0;        ok;
     A0054;     A0058;    0.0092;    0.0462;         0;        ok;
     A0054;     A0059;    0.0089;    0.0479;         0;        ok;
     A0054;     A0060;    0.0086;    0.0207;         0;        ok;
     A0054;     A0062;    0.0089;    0.0201;         0;        ok;
     A0054;     A0063;    0.0179;    0.0202;         0;        ok;
     A0054;     A0064;    0.0118;    0.0215;         0;        ok;
     A0054;     A0065;    0.0122;    0.0193;         0;        ok;
     A0054;     A0070;    0.0119;    0.0204;         0;        ok;
     A0054;     A0080;    0.0133;    0.0227;         0;        ok;
     A0054;     A0082;    0.0135;    0.0225;         0;        ok;
     A0054;     A0083;    0.0136;    0.0227;         0;        ok;
     A0054;     A0086;    0.0218;    0.0378;         0;        ok;
     A0054;     A0087;    0.0166;    0.0283;         0;        ok;
     A0054;     A0088;    0.0168;    0.0289;         0;        ok;
     A0054;     A0089;    0.0166;    0.0282;         0;        ok;
     A0055;     A0053;    0.0062;    0.0100;         0;        ok;
     A0055;     A0054;    0.0072;    0.0164;         0;        ok;
     A0055;     A0055;    0.0271;    0.3129;         1;        ok;
     A0055;     A0056;    0.0077;    0.0122;         0;        ok;
     A0055;     A0057;    0.0074;    0.0172;         0;        ok;
     A0055;     A0058;    0.0087;    0.0198;         0;        ok;
     A0055;     A0059;    0.0100;    0.0202;         0;        ok;
     A0055;     A0060;    0.0298;    0.0339;         0;        ok;
     A0055;     A0062;    0.0179;    0.0279;         0;        ok;
     A0055;     A0063;    0.0117;    0.0187;         0;        ok;
     A0055;     A0064;    0.0110;    0.0179;         0;        ok;
     A0055;     A0065;    0.0107;    0.0177;         0;        ok;
     A0055;     A0070;    0.0113;    0.0185;         0;        ok;
     A0055;     A0080;    0.0128;    0.0209;         0;        ok;
     A0055;     A0082;    0.0130;    0.0217;         0;        ok;
     A0055;     A0083;    0.0140;    0.0248;         0;        ok;
     A0055;     A0086;    0.0224;    0.0421;         0;        ok;
     A0055;     A0087;    0.0219;    0.0357;         0;        ok;
     A0055;     A0088;    0.0177;    0.0300;         0;        ok;
     A0055;     A0089;    0.0181;    0.0292;         0;        ok;
     A0056;     A0053;    0.0084;    0.0171;         0;        ok;
     A0056;     A0054;    0.0100;    0.0151;         0;        ok;
     A0056;     A0055;    0.0092;    0.0121;         0;        ok;
     A0056;     A0056;    0.0443;    0.2577;         1;        ok;
     A0056;     A0057;    0.0294;    0.0137;         0;        ok;
     A0056;     A0058;    0.0321;    0.0147;         0;        ok;
     A0056;     A0059;    0.0316;    0.0152;         0;        ok;
     A0056;     A0060;    0.0132;    0.0181;         0;        ok;
     A0056;     A0062;    0.0099;    0.0171;         0;        ok;
     A0056;     A0063;    0.0124;    0.0202;         0;        ok;
     A0056;     A0064;    0.0128;    0.0202;         0;        ok;
     A0056;     A0065;    0.0137;    0.0196;         0;        ok;
     A0056;     A0070;    0.0134;    0.0206;         0;        ok;
     A0056;     A0080;    0.0148;    0.0235;         0;        ok;
     A0056;     A0082;    0.0135;    0.0226;         0;        ok;
     A0056;     A0083;    0.0135;    0.0229;         0;        ok;
     A0056;     A0086;    0.0215;    0.0375;         0;        ok;
     A0056;     A0087;    0.0165;    0.0281;         0;        ok;
     A0056;     A0088;    0.0171;    0.0291;         0;        ok;
     A0056;     A0089;    0.0171;    0.0291;         0;        ok;
     A0057;     A0053;    0.0071;    0.0114;         0;        ok;
     A0057;     A0054;    0.0093;    0.0433;         0;        ok;
     A0057;     A0055;    0.0090;    0.0169;         0;        ok;
     A0057;     A0056;    0.0078;    0.0135;         0;        ok;
     A0057;     A0057;    0.0444;    0.2751;         1;        ok;
     A0057;     A0058;    0.0359;    0.1161;         0;        ok;
     A0057;     A0059;    0.0403;    0.1231;         0;        ok;
     A0057;     A0060;    0.0102;    0.0208;         0;        ok;
     A0057;     A0062;    0.0135;    0.0251;         0;        ok;
     A0057;     A0063;    0.0126;    0.0205;         0;        ok;
     A0057;     A0064;    0.0133;    0.0212;         0;        ok;
     A0057;     A0065;    0.0132;    0.0294;         0;        ok;
     A0057;     A0070;    0.0146;    0.0242;         0;        ok;
     A0057;     A0080;    0.0143;    0.0243;         0;        ok;
     A0057;     A0082;    0.0155;    0.0272;         0;        ok;
     A0057;     A0083;    0.0164;    0.0265;         0;        ok;
     A0057;     A0086;    0.0274;    0.0466;         0;        ok;
     A0057;     A0087;    0.0209;    0.0340;         0;        ok;
     A0057;     A0088;    0.0197;    0.0382;         0;        ok;
     A0057;     A0089;    0.0178;    0.0359;         0;        ok;
     A0058;     A0053;    0.0081;    0.0131;         0;        ok;
     A0058;     A0054;    0.0108;    0.0328;         0;        ok;
     A0058;     A0055;    0.0103;    0.0176;         0;        ok;
     A0058;     A0056;    0.0083;    0.0146;         0;        ok;
     A0058;     A0057;    0.0110;    0.0497;         0;        ok;
     A0058;     A0058;    0.0612;    0.2933;         1;        ok;
     A0058;     A0059;    0.0415;    0.0502;         0;        ok;
     A0058;     A0060;    0.0100;    0.0206;         0;        ok;
     A0058;     A0062;    0.0103;    0.0208;         0;        ok;
     A0058;     A0063;    0.0119;    0.0192;         0;        ok;
     A0058;     A0064;    0.0117;    0.0190;         0;        ok;
     A0058;     A0065;    0.0117;    0.0192;         0;        ok;
     A0058;     A0070;    0.0136;    0.0225;         0;        ok;
     A0058;     A0080;    0.0145;    0.0253;         0;        ok;
     A0058;     A0082;    0.0149;    0.0239;         0;        ok;
     A0058;     A0083;    0.0148;    0.0257;         0;        ok;
     A0058;     A0086;    0.0249;    0.0413;         0;        ok;
     A0058;     A0087;    0.0179;    0.0308;         0;        ok;
     A0058;     A0088;    0.0178;    0.0377;         0;        ok;
     A0058;     A0089;    0.0187;    0.0315;         0;        ok;
     A0059;     A0053;    0.0073;    0.0119;         0;        ok;
     A0059;     A0054;    0.0088;    0.0330;         0;        ok;
     A0059;     A0055;    0.0088;    0.0241;         0;        ok;
     A0059;     A0056;    0.0087;    0.0144;         0;        ok;
     A0059;     A0057;    0.0113;    0.0464;         0;        ok;
     A0059;     A0058;    0.0104;    0.0473;         0;        ok;
     A0059;     A0059;    0.0564;    0.3753;         1;        ok;
     A0059;     A0060;    0.0122;    0.0223;         0;        ok;
     A0059;     A0062;    0.0096;    0.0223;         0;        ok;
     A0059;     A0063;    0.0120;    0.0248;         0;        ok;
     A0059;     A0064;    0.0117;    0.0198;         0;        ok;
     A0059;     A0065;    0.0123;    0.0201;         0;        ok;
     A0059;     A0070;    0.0129;    0.0212;         0;        ok;
     A0059;     A0080;    0.0134;    0.0251;         0;        ok;
     A0059;     A0082;    0.0152;    0.0261;         0;        ok;
     A0059;     A0083;    0.0141;    0.0247;         0;        ok;
     A0059;     A0086;    0.0241;    0.0418;         0;        ok;
     A0059;     A0087;    0.0234;    0.0308;         0;        ok;
     A0059;     A0088;    0.0173;    0.0304;         0;        ok;
     A0059;     A0089;    0.0173;    0.0304;         0;        ok;
     A0060;     A0053;    0.0080;    0.0136;         0;        ok;
     A0060;     A0054;    0.0089;    0.0200;         0;        ok;
     A0060;     A0055;    0.0083;    0.0259;         0;        ok;
     A0060;     A0056;    0.0082;    0.0132;         0;        ok;
