======== Checking equivalence of automata =======
Automata directory:   tests/aut_timbuk_smaller
Timeout:              300 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;double-incl-d;  congr-up;      '<=';
     A0053;     A0053;    0.0000;    0.0000;    0.8974;         1;        ok;
     A0053;     A0054;    0.0000;    0.0000;    0.5000;         0;        ok;
     A0053;     A0055;    0.0000;    0.0000;    0.5000;         0;        ok;
     A0053;     A0056;    0.0000;    0.0000;    0.8571;         0;        ok;
     A0053;     A0057;    0.0000;    0.0000;    0.5000;         0;        ok;
     A0053;     A0058;    0.0000;    0.0000;    0.5000;         0;        ok;
     A0053;     A0059;    0.0000;    0.0000;    0.5000;         0;        ok;
     A0053;     A0060;    0.0000;    0.0000;    0.5000;         0;        ok;
     A0053;     A0062;    0.0000;    0.0000;    0.5000;         0;        ok;
     A0053;     A0063;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0053;     A0064;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0053;     A0065;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0053;     A0070;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0053;     A0080;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0053;     A0082;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0053;     A0083;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0053;     A0086;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0053;     A0087;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0053;     A0088;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0053;     A0089;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0054;     A0053;    0.0000;    0.0000;    0.5000;         0;        ok;
     A0054;     A0054;    0.0000;    0.0000;    0.8835;         1;        ok;
     A0054;     A0055;    0.0000;    0.0000;    0.7857;         0;        ok;
     A0054;     A0056;    0.0000;    0.0000;    0.5000;         0;        ok;
     A0054;     A0057;    0.0000;    0.0000;    0.7759;         0;        ok;
     A0054;     A0058;    0.0000;    0.0000;    0.7759;         0;        ok;
     A0054;     A0059;    0.0000;    0.0000;    0.7759;         0;        ok;
     A0054;     A0060;    0.0000;    0.0000;    0.8000;         0;        ok;
     A0054;     A0062;    0.0000;    0.0000;    0.8000;         0;        ok;
     A0054;     A0063;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0054;     A0064;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0054;     A0065;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0054;     A0070;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0054;     A0080;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0054;     A0082;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0054;     A0083;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0054;     A0086;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0054;     A0087;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0054;     A0088;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0054;     A0089;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0055;     A0053;    0.0000;    0.0000;    0.5000;         0;        ok;
     A0055;     A0054;    0.0000;    0.0000;    0.7857;         0;        ok;
     A0055;     A0055;    0.0000;    0.0000;    0.8952;         1;        ok;
     A0055;     A0056;    0.0000;    0.0000;    0.5000;         0;        ok;
     A0055;     A0057;    0.0000;    0.0000;    0.7857;         0;        ok;
     A0055;     A0058;    0.0000;    0.0000;    0.7857;         0;        ok;
     A0055;     A0059;    0.0000;    0.0000;    0.7857;         0;        ok;
     A0055;     A0060;    0.0000;    0.0000;    0.7059;         0;        ok;
     A0055;     A0062;    0.0000;    0.0000;    0.7059;         0;        ok;
     A0055;     A0063;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0055;     A0064;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0055;     A0065;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0055;     A0070;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0055;     A0080;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0055;     A0082;    0.0000;    0.0000;    1.0000;         0;        ok;
     A0055;     A0083;    0.0000;    0.0000;    1.0000;         0;        ok;
