======== Checking equivalence of automata =======
Automata directory:   tests/fa_timbuk_armc/
Timeout:              5 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;double-incl-d;  congr-up;      '<=';
armcNFA_inclTest_0;armcNFA_inclTest_0;    0.0000;    0.0000;    0.7143;         1;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_1;    0.0000;    0.0000;    0.6667;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_10;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_1072;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_1073;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_11;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_12;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_13;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_14;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_15;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_16;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_17;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_18;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_19;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_2;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_20;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_21;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_22;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_23;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_24;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_25;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_26;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_27;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_28;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_29;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_3;    0.0000;    0.0000;    0.7143;         1;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_30;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_31;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_32;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_33;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_34;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_35;    0.0000;    0.0000;    1.0000;         0;        ok;
armcNFA_inclTest_0;armcNFA_inclTest_4;    0.0000;    0.0000;    0.7000;         0;        ok;
