======== Checking equivalence of automata =======
Automata directory:   ../automata-benchmarks/nta/artmc/
Timeout:              300 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;double-incl-d;  congr-up;      '<=';
 A0053.tmb; A0053.tmb;    0.0192;    0.0169;    0.0271;         1;        ok;
 A0053.tmb; A0054.tmb;    0.0052;    0.0050;    0.0062;         0;        ok;
 A0053.tmb; A0055.tmb;    0.0117;    0.0046;    0.0057;         0;        ok;
 A0053.tmb; A0056.tmb;    0.0074;    0.0055;    0.0085;         0;        ok;
 A0053.tmb; A0057.tmb;    0.0051;    0.0054;    0.0066;         0;        ok;
 A0053.tmb; A0058.tmb;    0.0053;    0.0053;    0.0065;         0;        ok;
 A0053.tmb; A0059.tmb;    0.0054;    0.0085;    0.0101;         0;        ok;
 A0053.tmb; A0060.tmb;    0.0134;    0.0053;    0.0065;         0;        ok;
 A0053.tmb; A0062.tmb;    0.0123;    0.0086;    0.0102;         0;        ok;
 A0053.tmb; A0063.tmb;    0.0101;    0.0102;    0.0090;         0;        ok;
 A0053.tmb; A0064.tmb;    0.0079;    0.0083;    0.0095;         0;        ok;
 A0053.tmb; A0065.tmb;    0.0075;    0.0127;    0.0143;         0;        ok;
 A0053.tmb; A0070.tmb;    0.0084;    0.0086;    0.0103;         0;        ok;
 A0053.tmb; A0080.tmb;    0.0092;    0.0092;    0.0111;         0;        ok;
 A0053.tmb; A0082.tmb;    0.0125;    0.0097;    0.0141;         0;        ok;
 A0053.tmb; A0083.tmb;    0.0145;    0.0099;    0.0111;         0;        ok;
 A0053.tmb; A0086.tmb;    0.0170;    0.0184;    0.0210;         0;        ok;
 A0053.tmb; A0087.tmb;    0.0140;    0.0230;    0.0154;         0;        ok;
 A0053.tmb; A0088.tmb;    0.0122;    0.0222;    0.0225;         0;        ok;
 A0053.tmb; A0089.tmb;    0.0122;    0.0129;    0.0143;         0;        ok;
 A0053.tmb; A0111.tmb;    0.0188;    0.0199;    0.0213;         0;        ok;
 A0053.tmb; A0117.tmb;    0.0226;    0.0236;    0.0253;         0;        ok;
 A0053.tmb; A0120.tmb;    0.0149;    0.0167;    0.0179;         0;        ok;
 A0053.tmb; A0126.tmb;    0.0139;    0.0146;    0.0169;         0;        ok;
 A0053.tmb; A0130.tmb;    0.0166;    0.0171;    0.0197;         0;        ok;
 A0053.tmb; A0172.tmb;    0.0173;    0.0182;    0.0214;         0;        ok;
 A0053.tmb; A0177.tmb;    0.0214;    0.0244;    0.0269;         0;        ok;
 A0053.tmb; A0246.tmb;    0.0349;    0.0389;    0.0416;         0;        ok;
 A0053.tmb; A0310.tmb;    0.0422;    0.0434;    0.0463;         0;        ok;
 A0053.tmb; A0312.tmb;    0.0377;    0.0417;    0.0449;         0;        ok;
