======== Checking equivalence of automata =======
Automata directory:   ./tests/aut_timbuk_smaller
Timeout:              300 s
reading files ...
-----------------------------------------------
      aut1;      aut2;double-incl;double-incl-d;  congr-up;      '<=';
     A0053;     A0053;    0.0285;    0.0299;    0.0387;         1;        ok;
     A0053;     A0054;    0.0071;    0.0078;    0.0096;         0;        ok;
     A0053;     A0055;    0.0192;    0.0048;    0.0083;         0;        ok;
     A0053;     A0056;    0.0052;    0.0084;    0.0081;         0;        ok;
     A0053;     A0057;    0.0052;    0.0080;    0.0094;         0;        ok;
     A0053;     A0058;    0.0086;    0.0085;    0.0095;         0;        ok;
     A0053;     A0059;    0.0066;    0.0080;    0.0099;         0;        ok;
     A0053;     A0060;    0.0213;    0.0078;    0.0095;         0;        ok;
     A0053;     A0062;    0.0176;    0.0082;    0.0067;         0;        ok;
     A0053;     A0063;    0.0116;    0.0123;    0.0142;         0;        ok;
     A0053;     A0064;    0.0120;    0.0082;    0.0144;         0;        ok;
     A0053;     A0065;    0.0116;    0.0120;    0.0095;         0;        ok;
     A0053;     A0070;    0.0134;    0.0116;    0.0154;         0;        ok;
     A0053;     A0080;    0.0134;    0.0136;    0.0111;         0;        ok;
     A0053;     A0082;    0.0144;    0.0138;    0.0148;         0;        ok;
     A0053;     A0083;    0.0154;    0.0153;    0.0167;         0;        ok;
     A0053;     A0086;    0.0242;    0.0251;    0.0270;         0;        ok;
     A0053;     A0087;    0.0183;    0.0202;    0.0218;         0;        ok;
     A0053;     A0088;    0.0186;    0.0220;    0.0144;         0;        ok;
     A0053;     A0089;    0.0119;    0.0195;    0.0211;         0;        ok;
     A0054;     A0053;    0.0079;    0.0077;    0.0091;         0;        ok;
     A0054;     A0054;    0.0471;    0.0309;    0.0471;         1;        ok;
     A0054;     A0055;    0.0058;    0.0053;    0.0096;         0;        ok;
     A0054;     A0056;    0.0065;    0.0098;    0.0102;         0;        ok;
     A0054;     A0057;    0.0061;    0.0106;    0.0077;         0;        ok;
     A0054;     A0058;    0.0071;    0.0110;    0.0077;         0;        ok;
     A0054;     A0059;    0.0101;    0.0102;    0.0112;         0;        ok;
     A0054;     A0060;    0.0099;    0.0067;    0.0077;         0;        ok;
     A0054;     A0062;    0.0107;    0.0064;    0.0077;         0;        ok;
     A0054;     A0063;    0.0137;    0.0169;    0.0102;         0;        ok;
     A0054;     A0064;    0.0134;    0.0148;    0.0137;         0;        ok;
     A0054;     A0065;    0.0131;    0.0205;    0.0157;         0;        ok;
     A0054;     A0070;    0.0142;    0.0431;    0.0141;         0;        ok;
