
Antichain percentiles
percentile;time;
0.1;0.0222;
0.2;0.0432;
0.3;0.057;
0.4;0.0783;
0.5;0.0995;
0.6;0.123;
0.7;0.1468;
0.8;0.1809;
0.9;0.3274;
0.91;0.3551;
0.92;0.3819;
0.93;0.4394;
0.94;0.504;
0.95;0.6703;
0.96;1.7738;
0.97;2.9898;
0.98;7.2755;
0.99;23.4059;
1.0;300.0;

Bisimulation percentiles
percentile;time;
0.1;0.0262;
0.2;0.0502;
0.3;0.0657;
0.4;0.0878;
0.5;0.1116;
0.6;0.1376;
0.7;0.1604;
0.8;0.1988;
0.9;0.3354;
0.91;0.369;
0.92;0.3931;
0.93;0.4124;
0.94;0.4668;
0.95;0.533;
0.96;1.1088;
0.97;1.8615;
0.98;6.0015;
0.99;10.3328;
1.0;202.674;

Antichain percentiles eq
percentile;time;
0.1;0.504;
0.2;0.9729;
0.3;2.15;
0.4;2.732;
0.5;3.8718;
0.6;5.2673;
0.7;13.9283;
0.8;22.7619;
0.9;69.2831;
0.91;86.8131;
0.92;91.5807;
0.93;102.757;
0.94;123.307;
0.95;131.234;
0.96;253.368;
0.97;278.542;
0.98;292.07;
0.99;297.244;
1.0;300.0;

Bisimulation percentiles eq
percentile;time;
0.1;0.4007;
0.2;0.6625;
0.3;1.3425;
0.4;1.6826;
0.5;2.7322;
0.6;5.464;
0.7;6.9193;
0.8;9.4806;
0.9;15.1259;
0.91;15.744;
0.92;16.7078;
0.93;18.8409;
0.94;19.6616;
0.95;22.3929;
0.96;26.3694;
0.97;99.8161;
0.98;116.796;
0.99;178.254;
1.0;202.674;

Antichain percentiles neq
percentile;time;
0.1;0.021;
0.2;0.0416;
0.3;0.055;
0.4;0.0738;
0.5;0.0946;
0.6;0.1175;
0.7;0.1374;
0.8;0.1651;
0.9;0.2359;
0.91;0.2509;
0.92;0.2655;
0.93;0.2846;
0.94;0.3129;
0.95;0.3417;
0.96;0.3616;
0.97;0.3919;
0.98;0.4617;
0.99;0.5754;
1.0;2.2015;

Bisimulation percentiles neq
percentile;time;
0.1;0.0249;
0.2;0.049;
0.3;0.0628;
0.4;0.0824;
0.5;0.1059;
0.6;0.1307;
0.7;0.1517;
0.8;0.1839;
0.9;0.2573;
0.91;0.2667;
0.92;0.2859;
0.93;0.3015;
0.94;0.3161;
0.95;0.3484;
0.96;0.3801;
0.97;0.4016;
0.98;0.428;
0.99;0.4857;
1.0;0.9572;

Scatter data all
dificculity;antichain;bisimulation;
0.0026;0.0022;0.003;
0.00305;0.0026;0.0035;
0.00315;0.0028;0.0035;
0.0032;0.0036;0.0028;
0.0034;0.003;0.0038;
0.00345;0.003;0.0039;
0.0035;0.0031;0.0039;
0.0035;0.0038;0.0032;
0.0036;0.0032;0.004;
0.00375;0.0031;0.0044;
0.0039;0.0033;0.0045;
0.0041;0.0029;0.0053;
0.0041;0.0034;0.0048;
0.00415;0.0047;0.0036;
0.0042;0.0029;0.0055;
0.00445;0.0031;0.0058;
0.0045;0.005;0.004;
0.0046;0.0051;0.0041;
0.00515;0.0046;0.0057;
0.0056;0.005;0.0062;
0.0056;0.005;0.0062;
0.0057;0.0051;0.0063;
0.00585;0.0051;0.0066;
0.00585;0.0054;0.0063;
0.0059;0.0053;0.0065;
0.0059;0.0053;0.0065;
0.006;0.0052;0.0068;
0.00605;0.0055;0.0066;
0.00605;0.0054;0.0067;
0.00615;0.0055;0.0068;
0.00625;0.0057;0.0068;
0.00625;0.0057;0.0068;
0.0063;0.0056;0.007;
0.0063;0.0057;0.0069;
0.00635;0.0058;0.0069;
0.00635;0.0057;0.007;
0.00635;0.0057;0.007;
0.0064;0.0058;0.007;
0.00645;0.0059;0.007;
0.0065;0.0059;0.0071;
0.0065;0.006;0.007;
0.00655;0.0059;0.0072;
0.00665;0.0059;0.0074;
0.00665;0.006;0.0073;
0.00665;0.006;0.0073;
0.0067;0.0053;0.0081;
0.00675;0.0062;0.0073;
0.00675;0.0061;0.0074;
0.00685;0.0066;0.0071;
0.0069;0.0063;0.0075;
0.0069;0.0062;0.0076;
0.00695;0.0062;0.0077;
0.00695;0.0062;0.0077;
0.007;0.0055;0.0085;
0.007;0.0063;0.0077;
0.007;0.0066;0.0074;
0.007;0.0063;0.0077;
0.00705;0.0063;0.0078;
0.0071;0.0067;0.0075;
0.0071;0.0063;0.0079;
0.00715;0.0068;0.0075;
0.00715;0.0065;0.0078;
0.00715;0.0065;0.0078;
0.00725;0.0067;0.0078;
0.00725;0.0082;0.0063;
0.00725;0.0079;0.0066;
0.0073;0.0068;0.0078;
0.00735;0.0051;0.0096;
0.0074;0.0065;0.0083;
0.0075;0.0078;0.0072;
0.00765;0.0069;0.0084;
0.00765;0.0071;0.0082;
0.0077;0.0053;0.0101;
0.00775;0.0054;0.0101;
0.00775;0.0064;0.0091;
0.0078;0.0055;0.0101;
0.00795;0.0056;0.0103;
0.008;0.0078;0.0082;
0.00805;0.0056;0.0105;
0.0081;0.0093;0.0069;
0.0081;0.007;0.0092;
0.00825;0.0065;0.01;
0.0083;0.0056;0.011;
0.0084;0.0061;0.0107;
0.0084;0.0058;0.011;
0.0084;0.0094;0.0074;
0.00845;0.0094;0.0075;
0.00865;0.0075;0.0098;
0.0087;0.0079;0.0095;
0.00885;0.007;0.0107;
0.00885;0.0066;0.0111;
0.00885;0.008;0.0097;
0.00885;0.0081;0.0096;
0.0089;0.007;0.0108;
0.0089;0.0081;0.0097;
0.00895;0.0073;0.0106;
0.00895;0.0062;0.0117;
0.009;0.0067;0.0113;
0.009;0.0083;0.0097;
0.00915;0.0084;0.0099;
0.0092;0.0101;0.0083;
0.00925;0.0085;0.01;
0.00925;0.0085;0.01;
